pressure fraction   pressure [df. units]M [Ms]              R [km]              
0.000166579         1.38774e+33         0.179878            20.7038             
0.000166886         1.3903e+33          0.179886            20.6975             
0.000167194         1.39286e+33         0.179894            20.6913             
0.000167502         1.39543e+33         0.179903            20.685              
0.000167811         1.398e+33           0.179911            20.6786             
0.00016812          1.40058e+33         0.17992             20.6723             
0.00016843          1.40316e+33         0.179929            20.666              
0.000168741         1.40575e+33         0.179938            20.6596             
0.000169052         1.40834e+33         0.179947            20.6532             
0.000169364         1.41094e+33         0.179957            20.6468             
0.000169676         1.41354e+33         0.179966            20.6404             
0.000169989         1.41615e+33         0.179976            20.6339             
0.000170303         1.41876e+33         0.179986            20.6275             
0.000170617         1.42137e+33         0.179997            20.621              
0.000170931         1.42399e+33         0.180007            20.6145             
0.000171246         1.42662e+33         0.180018            20.608              
0.000171562         1.42925e+33         0.180029            20.6014             
0.000171878         1.43189e+33         0.18004             20.5949             
0.000172195         1.43453e+33         0.180052            20.5883             
0.000172513         1.43717e+33         0.180063            20.5817             
0.000172831         1.43982e+33         0.180075            20.5751             
0.00017315          1.44248e+33         0.180087            20.5685             
0.000173469         1.44514e+33         0.1801              20.5619             
0.000173789         1.4478e+33          0.180112            20.5552             
0.000174109         1.45047e+33         0.180125            20.5485             
0.00017443          1.45314e+33         0.180138            20.5418             
0.000174752         1.45582e+33         0.180151            20.5351             
0.000175074         1.45851e+33         0.180164            20.5284             
0.000175397         1.4612e+33          0.180178            20.5216             
0.00017572          1.46389e+33         0.180192            20.5148             
0.000176044         1.46659e+33         0.180206            20.508              
0.000176369         1.4693e+33          0.18022             20.5012             
0.000176694         1.47201e+33         0.180234            20.4944             
0.00017702          1.47472e+33         0.180249            20.4876             
0.000177347         1.47744e+33         0.180264            20.4807             
0.000177674         1.48016e+33         0.180279            20.4738             
0.000178001         1.48289e+33         0.180295            20.4669             
0.000178329         1.48563e+33         0.18031             20.46               
0.000178658         1.48837e+33         0.180326            20.4531             
0.000178988         1.49111e+33         0.180342            20.4461             
0.000179318         1.49386e+33         0.180358            20.4392             
0.000179648         1.49661e+33         0.180375            20.4322             
0.00017998          1.49937e+33         0.180391            20.4252             
0.000180311         1.50214e+33         0.180408            20.4182             
0.000180644         1.50491e+33         0.180425            20.4111             
0.000180977         1.50768e+33         0.180443            20.4041             
0.000181311         1.51046e+33         0.18046             20.397              
0.000181645         1.51325e+33         0.180478            20.3899             
0.00018198          1.51604e+33         0.180496            20.3828             
0.000182316         1.51883e+33         0.180515            20.3757             
0.000182652         1.52164e+33         0.180533            20.3686             
0.000182989         1.52444e+33         0.180552            20.3614             
0.000183326         1.52725e+33         0.180571            20.3542             
0.000183664         1.53007e+33         0.18059             20.347              
0.000184003         1.53289e+33         0.18061             20.3398             
0.000184342         1.53572e+33         0.180629            20.3326             
0.000184682         1.53855e+33         0.180649            20.3254             
0.000185022         1.54138e+33         0.180669            20.3181             
0.000185364         1.54423e+33         0.18069             20.3108             
0.000185705         1.54707e+33         0.18071             20.3036             
0.000186048         1.54993e+33         0.180731            20.2962             
0.000186391         1.55279e+33         0.180752            20.2889             
0.000186735         1.55565e+33         0.180774            20.2816             
0.000187079         1.55852e+33         0.180795            20.2742             
0.000187424         1.56139e+33         0.180817            20.2668             
0.000187769         1.56427e+33         0.180839            20.2595             
0.000188116         1.56715e+33         0.180861            20.252              
0.000188463         1.57004e+33         0.180884            20.2446             
0.00018881          1.57294e+33         0.180907            20.2372             
0.000189158         1.57584e+33         0.18093             20.2297             
0.000189507         1.57875e+33         0.180953            20.2223             
